Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2021-11-20,Quebec,5 years and older,"6,815,157","6,640,359",n/a,83.30%,81.10%,n/a
2021-11-20,Quebec,12 years and older,"6,815,058","6,640,359",n/a,90.50%,88.20%,n/a
2021-11-20,Quebec,18 years and older,"6,343,073","6,189,575",n/a,90.60%,88.40%,n/a
2021-11-20,Ontario,Total population,"11,598,644","11,207,402",n/a,78.20%,75.60%,n/a
2021-11-20,Ontario,5 years and older,"11,562,054","11,174,053",n/a,81.90%,79.20%,n/a
2021-11-20,Ontario,12 years and older,"11,562,054","11,174,053",n/a,88.70%,85.70%,n/a
2021-11-20,Ontario,18 years and older,"10,705,996","10,358,276",n/a,88.70%,85.80%,n/a
2021-11-20,Manitoba,Total population,"1,056,316","1,020,089",n/a,76.30%,73.70%,n/a
2021-11-20,Manitoba,5 years and older,"1,056,217","1,020,055",n/a,81.20%,78.40%,n/a
2021-11-20,Manitoba,12 years and older,"1,056,217","1,020,055",n/a,89.80%,86.70%,n/a
2021-11-20,Manitoba,18 years and older,"972,702","941,464",n/a,90.50%,87.60%,n/a
2021-11-20,Saskatchewan,Total population,"869,151","819,023",n/a,73.70%,69.40%,n/a
2021-11-20,Saskatchewan,5 years and older,"869,019","818,973",n/a,78.50%,74.00%,n/a
2021-11-20,Saskatchewan,12 years and older,"866,913","817,309",n/a,87.00%,82.00%,n/a
2021-11-20,Saskatchewan,18 years and older,"792,705","750,040",n/a,87.30%,82.60%,n/a
2021-11-20,Alberta,Total population,"3,290,358","3,111,718",n/a,74.10%,70.00%,n/a
2021-11-20,Alberta,5 years and older,"3,255,026","3,084,940",n/a,77.80%,73.70%,n/a
2021-11-20,Alberta,12 years and older,"3,255,026","3,084,940",n/a,85.80%,81.40%,n/a
2021-11-20,Alberta,18 years and older,"2,992,500","2,842,151",n/a,86.30%,81.90%,n/a
2021-11-20,British Columbia,Total population,"4,185,544","4,019,104",n/a,80.30%,77.10%,n/a
2021-11-20,British Columbia,5 years and older,"4,185,544","4,019,104",n/a,83.90%,80.50%,n/a
2021-11-20,British Columbia,12 years and older,"4,182,261","4,016,244",n/a,90.00%,86.50%,n/a
2021-11-20,British Columbia,18 years and older,"3,917,273","3,768,295",n/a,90.20%,86.80%,n/a
2021-11-20,Yukon,Total population,"33,705","32,141",n/a,78.20%,74.50%,n/a
2021-11-20,Yukon,5 years and older,"33,604","32,078",n/a,82.20%,78.50%,n/a
2021-11-20,Yukon,12 years and older,"33,575","32,049",n/a,89.40%,85.30%,n/a
2021-11-20,Yukon,18 years and older,"31,412","30,030",n/a,90.10%,86.10%,n/a
2021-11-20,Northwest Territories,Total population,"31,782","30,248",n/a,73.10%,69.60%,n/a
2021-11-20,Northwest Territories,5 years and older,"31,696","30,197",n/a,77.90%,74.20%,n/a
2021-11-20,Northwest Territories,12 years and older,"31,640","30,141",n/a,86.50%,82.40%,n/a
2021-11-20,Northwest Territories,18 years and older,"28,798","27,537",n/a,86.80%,83.00%,n/a
2021-11-20,Nunavut,Total population,"26,945","23,721",n/a,68.40%,60.20%,n/a
2021-11-20,Nunavut,5 years and older,"26,819","23,652",n/a,75.90%,66.90%,n/a
2021-11-20,Nunavut,12 years and older,"26,811","23,644",n/a,91.10%,80.30%,n/a
2021-11-20,Nunavut,18 years and older,"23,363","20,645",n/a,93.50%,82.60%,n/a
2021-11-27,Canada,Total population,"30,222,772","29,018,913",n/a,79.00%,75.90%,n/a
2021-11-27,Canada,5 years and older,"30,134,375","28,977,937",n/a,82.90%,79.70%,n/a
2021-11-27,Canada,12 years and older,"29,968,185","28,940,552",n/a,89.50%,86.40%,n/a
2021-11-27,Canada,18 years and older,"27,798,710","26,885,886",n/a,89.60%,86.70%,n/a
2021-11-27,Newfoundland and Labrador,Total population,"461,243","438,506",n/a,88.60%,84.20%,n/a
2021-11-27,Newfoundland and Labrador,5 years and older,"459,492","438,494",n/a,91.70%,87.50%,n/a
2021-11-27,Newfoundland and Labrador,12 years and older,"458,502","438,459",n/a,98.00%,93.70%,n/a
2021-11-27,Newfoundland and Labrador,18 years and older,"426,628","408,774",n/a,97.80%,93.70%,n/a
2021-11-27,Prince Edward Island,Total population,"138,096","132,372",n/a,84.00%,80.60%,n/a
2021-11-27,Prince Edward Island,5 years and older,"137,925","132,263",n/a,87.70%,84.10%,n/a
2021-11-27,Prince Edward Island,12 years and older,"137,403","132,263",n/a,94.50%,90.90%,n/a
2021-11-27,Prince Edward Island,18 years and older,"127,756","123,221",n/a,95.00%,91.60%,n/a
2021-11-27,Nova Scotia,Total population,"823,590","790,048",n/a,83.00%,79.60%,n/a
2021-11-27,Nova Scotia,5 years and older,"823,590","790,048",n/a,86.60%,83.10%,n/a
2021-11-27,Nova Scotia,12 years and older,"823,585","790,043",n/a,93.10%,89.30%,n/a
2021-11-27,Nova Scotia,18 years and older,"768,267","738,184",n/a,93.00%,89.30%,n/a
2021-11-27,New Brunswick,Total population,"650,606","617,765",n/a,82.40%,78.30%,n/a
2021-11-27,New Brunswick,5 years and older,"650,435","617,692",n/a,86.00%,81.70%,n/a
2021-11-27,New Brunswick,12 years and older,"648,035","617,254",n/a,92.30%,87.90%,n/a
2021-11-27,New Brunswick,18 years and older,"604,865","576,663",n/a,92.60%,88.30%,n/a
2021-11-27,Quebec,Total population,"6,879,325","6,661,236",n/a,80.00%,77.40%,n/a
2021-11-27,Quebec,5 years and older,"6,879,168","6,661,236",n/a,84.10%,81.40%,n/a
2021-11-27,Quebec,12 years and older,"6,828,506","6,659,475",n/a,90.70%,88.40%,n/a
2021-11-27,Quebec,18 years and older,"6,355,530","6,207,893",n/a,90.80%,88.60%,n/a
2021-11-27,Ontario,Total population,"11,678,129","11,253,853",n/a,78.80%,75.90%,n/a
2021-11-27,Ontario,5 years and older,"11,674,491","11,251,133",n/a,82.70%,79.70%,n/a
2021-11-27,Ontario,12 years and older,"11,589,857","11,220,122",n/a,88.90%,86.10%,n/a
2021-11-27,Ontario,18 years and older,"10,730,685","10,399,219",n/a,88.90%,86.10%,n/a
2021-11-27,Manitoba,Total population,"1,066,767","1,024,753",n/a,77.10%,74.10%,n/a
2021-11-27,Manitoba,5 years and older,"1,066,688","1,024,725",n/a,82.00%,78.70%,n/a
2021-11-27,Manitoba,12 years and older,"1,059,143","1,024,719",n/a,90.10%,87.10%,n/a
2021-11-27,Manitoba,18 years and older,"975,123","945,495",n/a,90.70%,88.00%,n/a
2021-11-27,Saskatchewan,Total population,"886,162","825,787",n/a,75.10%,70.00%,n/a
2021-11-27,Saskatchewan,5 years and older,"886,016","825,736",n/a,80.00%,74.60%,n/a
2021-11-27,Saskatchewan,12 years and older,"869,580","824,043",n/a,87.20%,82.70%,n/a
2021-11-27,Saskatchewan,18 years and older,"794,924","755,772",n/a,87.60%,83.30%,n/a
2021-11-27,Alberta,Total population,"3,351,130","3,149,338",n/a,75.40%,70.90%,n/a
2021-11-27,Alberta,5 years and older,"3,269,144","3,111,528",n/a,78.10%,74.40%,n/a
2021-11-27,Alberta,12 years and older,"3,269,144","3,111,528",n/a,86.20%,82.10%,n/a
2021-11-27,Alberta,18 years and older,"3,004,749","2,865,461",n/a,86.60%,82.60%,n/a
2021-11-27,British Columbia,Total population,"4,194,552","4,038,459",n/a,80.40%,77.40%,n/a
2021-11-27,British Columbia,5 years and older,"4,194,552","4,038,459",n/a,84.00%,80.90%,n/a
2021-11-27,British Columbia,12 years and older,"4,191,866","4,036,110",n/a,90.20%,86.90%,n/a
2021-11-27,British Columbia,18 years and older,"3,926,129","3,786,368",n/a,90.40%,87.20%,n/a
2021-11-27,Yukon,Total population,"33,892","32,312",n/a,78.60%,74.90%,n/a
2021-11-27,Yukon,5 years and older,"33,787","32,252",n/a,82.60%,78.90%,n/a
2021-11-27,Yukon,12 years and older,"33,764","32,229",n/a,89.90%,85.80%,n/a
2021-11-27,Yukon,18 years and older,"31,576","30,187",n/a,90.60%,86.60%,n/a
2021-11-27,Northwest Territories,Total population,"32,084","30,474",n/a,73.80%,70.10%,n/a
2021-11-27,Northwest Territories,5 years and older,"32,005","30,423",n/a,78.70%,74.80%,n/a
2021-11-27,Northwest Territories,12 years and older,"31,726","30,367",n/a,86.70%,83.00%,n/a
2021-11-27,Northwest Territories,18 years and older,"28,875","27,740",n/a,87.00%,83.60%,n/a
2021-11-27,Nunavut,Total population,"27,196","24,010",n/a,69.00%,60.90%,n/a
2021-11-27,Nunavut,5 years and older,"27,082","23,948",n/a,76.70%,67.80%,n/a
2021-11-27,Nunavut,12 years and older,"27,074","23,940",n/a,92.00%,81.30%,n/a
2021-11-27,Nunavut,18 years and older,"23,603","20,909",n/a,94.50%,83.70%,n/a
2021-12-04,Canada,Total population,"30,608,469","29,082,759",n/a,80.00%,76.00%,n/a
2021-12-04,Canada,5 years and older,"30,603,386","29,079,927",n/a,84.20%,80.00%,n/a
2021-12-04,Canada,12 years and older,"30,021,570","29,050,929",n/a,89.70%,86.80%,n/a
2021-12-04,Canada,18 years and older,"27,888,428","27,029,387",n/a,89.90%,87.20%,n/a
2021-12-04,Newfoundland and Labrador,Total population,"468,499","441,872",n/a,90.00%,84.90%,n/a
2021-12-04,Newfoundland and Labrador,5 years and older,"468,484","441,862",n/a,93.50%,88.20%,n/a
2021-12-04,Newfoundland and Labrador,12 years and older,"459,536","441,825",n/a,98.20%,94.50%,n/a
2021-12-04,Newfoundland and Labrador,18 years and older,"427,513","411,805",n/a,98.00%,94.40%,n/a
2021-12-04,Prince Edward Island,Total population,"139,638","132,952",n/a,85.00%,80.90%,n/a
2021-12-04,Prince Edward Island,5 years and older,"139,466","132,847",n/a,88.70%,84.50%,n/a
2021-12-04,Prince Edward Island,12 years and older,"137,651","132,847",n/a,94.70%,91.30%,n/a
2021-12-04,Prince Edward Island,18 years and older,"127,974","123,735",n/a,95.20%,92.00%,n/a
2021-12-04,Nova Scotia,Total population,"833,699","794,254",n/a,84.00%,80.10%,n/a
2021-12-04,Nova Scotia,5 years and older,"833,699","794,254",n/a,87.70%,83.60%,n/a
2021-12-04,Nova Scotia,12 years and older,"826,208","794,248",n/a,93.40%,89.80%,n/a
2021-12-04,Nova Scotia,18 years and older,"770,468","741,870",n/a,93.30%,89.80%,n/a
2021-12-04,New Brunswick,Total population,"659,316","620,204",n/a,83.50%,78.60%,n/a
2021-12-04,New Brunswick,5 years and older,"659,095","620,125",n/a,87.20%,82.00%,n/a
2021-12-04,New Brunswick,12 years and older,"649,364","619,764",n/a,92.50%,88.30%,n/a
2021-12-04,New Brunswick,18 years and older,"606,094","578,967",n/a,92.80%,88.60%,n/a
2021-12-04,Quebec,Total population,"7,008,032","6,680,470",n/a,81.40%,77.60%,n/a
2021-12-04,Quebec,5 years and older,"7,007,866","6,680,470",n/a,85.60%,81.60%,n/a
2021-12-04,Quebec,12 years and older,"6,841,776","6,674,144",n/a,90.80%,88.60%,n/a
2021-12-04,Quebec,18 years and older,"6,367,108","6,222,168",n/a,90.90%,88.80%,n/a
2021-12-04,Ontario,Total population,"11,809,917","11,257,201",n/a,79.70%,75.90%,n/a
2021-12-04,Ontario,5 years and older,"11,805,957","11,254,809",n/a,83.70%,79.70%,n/a
2021-12-04,Ontario,12 years and older,"11,591,277","11,249,244",n/a,88.90%,86.30%,n/a
2021-12-04,Ontario,18 years and older,"10,772,834","10,467,471",n/a,89.20%,86.70%,n/a
2021-12-04,Manitoba,Total population,"1,089,070","1,028,839",n/a,78.70%,74.40%,n/a
2021-12-04,Manitoba,5 years and older,"1,088,992","1,028,813",n/a,83.70%,79.00%,n/a
2021-12-04,Manitoba,12 years and older,"1,062,067","1,028,804",n/a,90.30%,87.50%,n/a
2021-12-04,Manitoba,18 years and older,"977,411","948,947",n/a,91.00%,88.30%,n/a
2021-12-04,Saskatchewan,Total population,"907,449","830,991",n/a,76.90%,70.40%,n/a
2021-12-04,Saskatchewan,5 years and older,"907,285","830,939",n/a,82.00%,75.10%,n/a
2021-12-04,Saskatchewan,12 years and older,"871,863","829,214",n/a,87.50%,83.20%,n/a
2021-12-04,Saskatchewan,18 years and older,"796,726","760,118",n/a,87.80%,83.80%,n/a
2021-12-04,Alberta,Total population,"3,365,876","3,153,129",n/a,75.80%,71.00%,n/a
2021-12-04,Alberta,5 years and older,"3,365,859","3,153,128",n/a,80.40%,75.40%,n/a
2021-12-04,Alberta,12 years and older,"3,287,675","3,140,047",n/a,86.70%,82.80%,n/a
2021-12-04,Alberta,18 years and older,"3,023,098","2,892,673",n/a,87.10%,83.40%,n/a
2021-12-04,British Columbia,Total population,"4,231,616","4,055,402",n/a,81.10%,77.80%,n/a
2021-12-04,British Columbia,5 years and older,"4,231,616","4,055,402",n/a,84.80%,81.30%,n/a
2021-12-04,British Columbia,12 years and older,"4,201,079","4,053,572",n/a,90.40%,87.30%,n/a
2021-12-04,British Columbia,18 years and older,"3,934,723","3,802,218",n/a,90.60%,87.60%,n/a
2021-12-04,Yukon,Total population,"34,075","32,532",n/a,79.00%,75.40%,n/a
2021-12-04,Yukon,5 years and older,"33,945","32,473",n/a,83.00%,79.40%,n/a
2021-12-04,Yukon,12 years and older,"33,929","32,457",n/a,90.30%,86.40%,n/a
2021-12-04,Yukon,18 years and older,"31,712","30,382",n/a,90.90%,87.10%,n/a
2021-12-04,Northwest Territories,Total population,"33,252","30,705",n/a,76.50%,70.60%,n/a
2021-12-04,Northwest Territories,5 years and older,"33,175","30,656",n/a,81.60%,75.40%,n/a
2021-12-04,Northwest Territories,12 years and older,"31,839","30,622",n/a,87.10%,83.70%,n/a
2021-12-04,Northwest Territories,18 years and older,"28,977","27,967",n/a,87.30%,84.30%,n/a
2021-12-04,Nunavut,Total population,"28,030","24,208",n/a,71.10%,61.40%,n/a
2021-12-04,Nunavut,5 years and older,"27,947","24,149",n/a,79.10%,68.40%,n/a
2021-12-04,Nunavut,12 years and older,"27,306","24,141",n/a,92.80%,82.00%,n/a
2021-12-04,Nunavut,18 years and older,"23,790","21,066",n/a,95.20%,84.30%,n/a
2021-12-11,Canada,Total population,"30,996,255","29,171,097",n/a,81.00%,76.30%,n/a
2021-12-11,Canada,5 years and older,"30,990,672","29,167,965",n/a,85.20%,80.20%,n/a
2021-12-11,Canada,12 years and older,"30,079,653","29,136,544",n/a,89.80%,87.00%,n/a
2021-12-11,Canada,18 years and older,"27,939,536","27,106,269",n/a,90.10%,87.40%,n/a
2021-12-11,Newfoundland and Labrador,Total population,"476,178","444,209",n/a,91.50%,85.30%,n/a
2021-12-11,Newfoundland and Labrador,5 years and older,"476,159","444,199",n/a,95.00%,88.70%,n/a
2021-12-11,Newfoundland and Labrador,12 years and older,"460,339","444,165",n/a,98.40%,95.00%,n/a
2021-12-11,Newfoundland and Labrador,18 years and older,"428,159","413,861",n/a,98.10%,94.90%,n/a
2021-12-11,Prince Edward Island,Total population,"140,929","133,455",n/a,85.80%,81.20%,n/a
2021-12-11,Prince Edward Island,5 years and older,"140,741","133,347",n/a,89.50%,84.80%,n/a
2021-12-11,Prince Edward Island,12 years and older,"137,941","133,347",n/a,94.80%,91.70%,n/a
2021-12-11,Prince Edward Island,18 years and older,"128,244","124,173",n/a,95.40%,92.40%,n/a
2021-12-11,Nova Scotia,Total population,"852,630","799,215",n/a,85.90%,80.60%,n/a
2021-12-11,Nova Scotia,5 years and older,"852,629","799,215",n/a,89.70%,84.10%,n/a
2021-12-11,Nova Scotia,12 years and older,"831,477","799,180",n/a,94.00%,90.40%,n/a
2021-12-11,Nova Scotia,18 years and older,"775,259","746,374",n/a,93.80%,90.30%,n/a
2021-12-11,New Brunswick,Total population,"668,486","622,170",n/a,84.70%,78.80%,n/a
2021-12-11,New Brunswick,5 years and older,"668,098","621,930",n/a,88.40%,82.20%,n/a
2021-12-11,New Brunswick,12 years and older,"650,465","621,669",n/a,92.70%,88.60%,n/a
2021-12-11,New Brunswick,18 years and older,"607,117","580,678",n/a,92.90%,88.90%,n/a
2021-12-11,Quebec,Total population,"7,118,239","6,698,801",n/a,82.70%,77.90%,n/a
2021-12-11,Quebec,5 years and older,"7,118,071","6,698,801",n/a,87.00%,81.90%,n/a
2021-12-11,Quebec,12 years and older,"6,854,698","6,688,048",n/a,91.00%,88.80%,n/a
2021-12-11,Quebec,18 years and older,"6,378,212","6,235,752",n/a,91.10%,89.00%,n/a
2021-12-11,Ontario,Total population,"11,944,371","11,289,006",n/a,80.60%,76.10%,n/a
2021-12-11,Ontario,5 years and older,"11,940,438","11,286,778",n/a,84.60%,80.00%,n/a
2021-12-11,Ontario,12 years and older,"11,613,794","11,282,699",n/a,89.10%,86.50%,n/a
2021-12-11,Ontario,18 years and older,"10,793,213","10,497,913",n/a,89.40%,86.90%,n/a
2021-12-11,Manitoba,Total population,"1,102,066","1,028,187",n/a,79.60%,74.30%,n/a
2021-12-11,Manitoba,5 years and older,"1,102,014","1,028,175",n/a,84.70%,79.00%,n/a
2021-12-11,Manitoba,12 years and older,"1,058,114","1,028,161",n/a,90.00%,87.40%,n/a
2021-12-11,Manitoba,18 years and older,"973,204","947,936",n/a,90.60%,88.20%,n/a
2021-12-11,Saskatchewan,Total population,"916,317","835,437",n/a,77.70%,70.80%,n/a
2021-12-11,Saskatchewan,5 years and older,"915,911","835,132",n/a,82.70%,75.40%,n/a
2021-12-11,Saskatchewan,12 years and older,"873,721","833,382",n/a,87.60%,83.60%,n/a
2021-12-11,Saskatchewan,18 years and older,"798,191","763,629",n/a,88.00%,84.10%,n/a
2021-12-11,Alberta,Total population,"3,398,445","3,167,778",n/a,76.50%,71.30%,n/a
2021-12-11,Alberta,5 years and older,"3,398,427","3,167,777",n/a,81.20%,75.70%,n/a
2021-12-11,Alberta,12 years and older,"3,296,015","3,154,661",n/a,86.90%,83.20%,n/a
2021-12-11,Alberta,18 years and older,"3,030,472","2,905,555",n/a,87.40%,83.80%,n/a
2021-12-11,British Columbia,Total population,"4,280,705","4,064,965",n/a,82.10%,78.00%,n/a
2021-12-11,British Columbia,5 years and older,"4,280,705","4,064,965",n/a,85.80%,81.40%,n/a
2021-12-11,British Columbia,12 years and older,"4,209,795","4,063,636",n/a,90.60%,87.50%,n/a
2021-12-11,British Columbia,18 years and older,"3,942,870","3,810,675",n/a,90.80%,87.80%,n/a
2021-12-11,Yukon,Total population,"34,641","32,526",n/a,80.30%,75.40%,n/a
2021-12-11,Yukon,5 years and older,"34,499","32,457",n/a,84.40%,79.40%,n/a
2021-12-11,Yukon,12 years and older,"33,893","32,449",n/a,90.30%,86.40%,n/a
2021-12-11,Yukon,18 years and older,"31,663","30,360",n/a,90.80%,87.10%,n/a
2021-12-11,Northwest Territories,Total population,"33,811","30,869",n/a,77.80%,71.00%,n/a
2021-12-11,Northwest Territories,5 years and older,"33,673","30,770",n/a,82.80%,75.60%,n/a
2021-12-11,Northwest Territories,12 years and older,"31,839","30,736",n/a,87.10%,84.00%,n/a
2021-12-11,Northwest Territories,18 years and older,"28,968","28,058",n/a,87.30%,84.60%,n/a
2021-12-11,Nunavut,Total population,"29,437","24,479",n/a,74.70%,62.10%,n/a
2021-12-11,Nunavut,5 years and older,"29,307","24,419",n/a,83.00%,69.10%,n/a
2021-12-11,Nunavut,12 years and older,"27,562","24,411",n/a,93.70%,82.90%,n/a
2021-12-11,Nunavut,18 years and older,"23,964","21,305",n/a,95.90%,85.30%,n/a
2021-12-18,Canada,Total population,"31,285,031","29,263,238",n/a,81.80%,76.50%,n/a
2021-12-18,Canada,5 years and older,"31,279,799","29,260,091",n/a,86.00%,80.50%,n/a
2021-12-18,Canada,12 years and older,"30,142,645","29,224,305",n/a,90.00%,87.30%,n/a
2021-12-18,Canada,18 years and older,"27,996,123","27,186,758",n/a,90.30%,87.70%,n/a
2021-12-18,Newfoundland and Labrador,Total population,"483,543","446,224",n/a,92.90%,85.70%,n/a
2021-12-18,Newfoundland and Labrador,5 years and older,"483,522","446,214",n/a,96.50%,89.10%,n/a
2021-12-18,Newfoundland and Labrador,12 years and older,"461,290","446,178",n/a,98.60%,95.40%,n/a
2021-12-18,Newfoundland and Labrador,18 years and older,"428,944","415,659",n/a,98.30%,95.30%,n/a
2021-12-18,Prince Edward Island,Total population,"142,507","133,859",n/a,86.70%,81.50%,n/a
2021-12-18,Prince Edward Island,5 years and older,"142,332","133,755",n/a,90.50%,85.10%,n/a
2021-12-18,Prince Edward Island,12 years and older,"138,235","133,755",n/a,95.10%,92.00%,n/a
2021-12-18,Prince Edward Island,18 years and older,"128,514","124,550",n/a,95.60%,92.60%,n/a
2021-12-18,Nova Scotia,Total population,"864,395","801,522",n/a,87.10%,80.80%,n/a
2021-12-18,Nova Scotia,5 years and older,"864,394","801,522",n/a,90.90%,84.30%,n/a
2021-12-18,Nova Scotia,12 years and older,"833,086","801,495",n/a,94.20%,90.60%,n/a
2021-12-18,Nova Scotia,18 years and older,"776,664","748,433",n/a,94.00%,90.60%,n/a
2021-12-18,New Brunswick,Total population,"675,164","624,274",n/a,85.50%,79.10%,n/a
2021-12-18,New Brunswick,5 years and older,"674,797","624,040",n/a,89.20%,82.50%,n/a
2021-12-18,New Brunswick,12 years and older,"652,164","623,883",n/a,92.90%,88.90%,n/a
2021-12-18,New Brunswick,18 years and older,"608,696","582,705",n/a,93.20%,89.20%,n/a
2021-12-18,Quebec,Total population,"7,201,347","6,716,078",n/a,83.70%,78.10%,n/a
2021-12-18,Quebec,5 years and older,"7,201,171","6,716,078",n/a,88.00%,82.10%,n/a
2021-12-18,Quebec,12 years and older,"6,867,123","6,701,107",n/a,91.20%,89.00%,n/a
2021-12-18,Quebec,18 years and older,"6,388,831","6,248,466",n/a,91.20%,89.20%,n/a
2021-12-18,Ontario,Total population,"12,038,634","11,319,277",n/a,81.20%,76.30%,n/a
2021-12-18,Ontario,5 years and older,"12,035,056","11,317,145",n/a,85.30%,80.20%,n/a
2021-12-18,Ontario,12 years and older,"11,638,306","11,313,272",n/a,89.30%,86.80%,n/a
2021-12-18,Ontario,18 years and older,"10,815,755","10,526,125",n/a,89.60%,87.20%,n/a
2021-12-18,Manitoba,Total population,"1,113,721","1,030,971",n/a,80.50%,74.50%,n/a
2021-12-18,Manitoba,5 years and older,"1,113,666","1,030,958",n/a,85.60%,79.20%,n/a
2021-12-18,Manitoba,12 years and older,"1,060,270","1,030,911",n/a,90.20%,87.70%,n/a
2021-12-18,Manitoba,18 years and older,"974,967","950,238",n/a,90.70%,88.40%,n/a
2021-12-18,Saskatchewan,Total population,"921,677","839,828",n/a,78.10%,71.20%,n/a
2021-12-18,Saskatchewan,5 years and older,"921,271","839,519",n/a,83.20%,75.80%,n/a
2021-12-18,Saskatchewan,12 years and older,"875,504","837,042",n/a,87.80%,84.00%,n/a
2021-12-18,Saskatchewan,18 years and older,"799,751","766,800",n/a,88.10%,84.50%,n/a
2021-12-18,Alberta,Total population,"3,423,483","3,182,120",n/a,77.10%,71.60%,n/a
2021-12-18,Alberta,5 years and older,"3,423,452","3,182,119",n/a,81.80%,76.10%,n/a
2021-12-18,Alberta,12 years and older,"3,304,240","3,168,787",n/a,87.10%,83.60%,n/a
2021-12-18,Alberta,18 years and older,"3,037,813","2,918,109",n/a,87.60%,84.10%,n/a
2021-12-18,British Columbia,Total population,"4,321,212","4,080,226",n/a,82.90%,78.20%,n/a
2021-12-18,British Columbia,5 years and older,"4,321,212","4,080,226",n/a,86.60%,81.80%,n/a
2021-12-18,British Columbia,12 years and older,"4,219,107","4,079,395",n/a,90.80%,87.80%,n/a
2021-12-18,British Columbia,18 years and older,"3,951,606","3,825,133",n/a,91.00%,88.10%,n/a
2021-12-18,Yukon,Total population,"35,505","32,730",n/a,82.30%,75.90%,n/a
2021-12-18,Yukon,5 years and older,"35,359","32,617",n/a,86.50%,79.80%,n/a
2021-12-18,Yukon,12 years and older,"34,027","32,617",n/a,90.60%,86.90%,n/a
2021-12-18,Yukon,18 years and older,"31,808","30,532",n/a,91.20%,87.60%,n/a
2021-12-18,Northwest Territories,Total population,"34,048","31,045",n/a,78.30%,71.40%,n/a
2021-12-18,Northwest Territories,5 years and older,"33,917","30,946",n/a,83.40%,76.10%,n/a
2021-12-18,Northwest Territories,12 years and older,"31,924","30,911",n/a,87.30%,84.50%,n/a
2021-12-18,Northwest Territories,18 years and older,"29,041","28,198",n/a,87.50%,85.00%,n/a
2021-12-18,Nunavut,Total population,"29,795","25,084",n/a,75.60%,63.70%,n/a
2021-12-18,Nunavut,5 years and older,"29,650","24,952",n/a,83.90%,70.60%,n/a
2021-12-18,Nunavut,12 years and older,"27,369","24,952",n/a,93.00%,84.80%,n/a
2021-12-18,Nunavut,18 years and older,"23,733","21,810",n/a,95.00%,87.30%,n/a
2021-12-25,Canada,Total population,"31,473,212","29,336,156",n/a,82.30%,76.70%,n/a
2021-12-25,Canada,5 years and older,"31,468,834","29,333,089",n/a,86.50%,80.70%,n/a
2021-12-25,Canada,12 years and older,"30,218,440","29,289,809",n/a,90.30%,87.50%,n/a
2021-12-25,Canada,18 years and older,"28,069,607","27,251,310",n/a,90.50%,87.90%,n/a
2021-12-25,Newfoundland and Labrador,Total population,"485,454","447,320",n/a,93.30%,85.90%,n/a
2021-12-25,Newfoundland and Labrador,5 years and older,"485,425","447,309",n/a,96.90%,89.30%,n/a
2021-12-25,Newfoundland and Labrador,12 years and older,"462,056","447,271",n/a,98.80%,95.60%,n/a
2021-12-25,Newfoundland and Labrador,18 years and older,"429,632","416,623",n/a,98.50%,95.50%,n/a
2021-12-25,Prince Edward Island,Total population,"143,599","134,030",n/a,87.40%,81.60%,n/a
2021-12-25,Prince Edward Island,5 years and older,"143,342","133,847",n/a,91.20%,85.10%,n/a
2021-12-25,Prince Edward Island,12 years and older,"138,409","133,847",n/a,95.20%,92.00%,n/a
2021-12-25,Prince Edward Island,18 years and older,"128,666","124,656",n/a,95.70%,92.70%,n/a
2021-12-25,Nova Scotia,Total population,"868,894","803,331",n/a,87.60%,81.00%,n/a
2021-12-25,Nova Scotia,5 years and older,"868,893","803,331",n/a,91.40%,84.50%,n/a
2021-12-25,Nova Scotia,12 years and older,"832,992","803,300",n/a,94.20%,90.80%,n/a
2021-12-25,Nova Scotia,18 years and older,"776,674","750,072",n/a,94.00%,90.80%,n/a
2021-12-25,New Brunswick,Total population,"677,958","625,628",n/a,85.90%,79.30%,n/a
2021-12-25,New Brunswick,5 years and older,"677,629","625,413",n/a,89.60%,82.70%,n/a
2021-12-25,New Brunswick,12 years and older,"653,468","625,329",n/a,93.10%,89.10%,n/a
2021-12-25,New Brunswick,18 years and older,"609,950","584,079",n/a,93.40%,89.40%,n/a
2021-12-25,Quebec,Total population,"7,237,204","6,730,721",n/a,84.10%,78.20%,n/a
2021-12-25,Quebec,5 years and older,"7,237,025","6,730,721",n/a,88.40%,82.30%,n/a
2021-12-25,Quebec,12 years and older,"6,879,390","6,712,861",n/a,91.30%,89.10%,n/a
2021-12-25,Quebec,18 years and older,"6,399,763","6,260,135",n/a,91.40%,89.40%,n/a
2021-12-25,Ontario,Total population,"12,114,044","11,352,387",n/a,81.70%,76.60%,n/a
2021-12-25,Ontario,5 years and older,"12,111,348","11,350,390",n/a,85.80%,80.40%,n/a
2021-12-25,Ontario,12 years and older,"11,671,497","11,344,873",n/a,89.50%,87.00%,n/a
2021-12-25,Ontario,18 years and older,"10,848,561","10,558,168",n/a,89.80%,87.40%,n/a
2021-12-25,Manitoba,Total population,"1,119,954","1,033,967",n/a,80.90%,74.70%,n/a
2021-12-25,Manitoba,5 years and older,"1,119,900","1,033,955",n/a,86.00%,79.40%,n/a
